159 1 40 1 40
160 4 184 4 160
161 5 224 5 200
162 0 0 0 0
163 4 199 4 199
164 2 80 2 80
165 0 0 0 0
166 6 764 7 419
167 3 159 3 159
168 5 278 5 278
169 1 40 1 40
170 64 3855 395 566040
171 1 40 1 40
172 0 0 0 0
173 3 1162 4 360
174 0 0 0 0
175 137 6870 1118 1632177
176 2 80 2 80
177 1 40 1 40
178 1 40 1 40
179 0 0 0 0
180 11 512 11 440
181 3 144 3 120
182 0 0 0 0
183 3 144 3 120
184 0 0 0 0
185 0 0 0 0
186 1 40 1 40
187 0 0 0 0
188 0 0 0 0
189 0 0 0 0
190 1 40 1 40
191 2 691 3 257
192 8 446 8 320
193 0 0 0 0
194 4 223 4 160
195 12 669 12 480
196 4 695 5 339
197 0 0 0 0
198 4 223 4 160
199 58 3615 376 540349
200 0 0 0 0
201 3 1160 4 360
202 0 0 0 0
203 0 0 0 0
204 0 0 0 0
205 0 0 0 0
206 1 40 1 40
207 0 0 0 0
208 0 0 0 0
209 1 40 1 40
210 0 0 0 0
211 3 1107 4 360
212 0 0 0 0
213 0 0 0 0
214 0 0 0 0
215 0 0 0 0
216 1 40 1 40
217 4 223 4 160
218 0 0 0 0
219 0 0 0 0
220 5 263 5 200
221 144 7276 1004 1442201
222 0 0 0 0
223 0 0 0 0
224 0 0 0 0
225 0 0 0 0
226 3 645 4 299
227 0 0 0 0
228 0 0 0 0
229 30 3532 143 198568
230 23 920 231 336508
231 3 731 4 297
232 0 0 0 0
233 0 0 0 0
234 0 0 0 0
235 0 0 0 0
236 0 0 0 0
237 0 0 0 0
238 0 0 0 0
239 0 0 0 0
240 1 40 1 40
241 1 40 1 40
242 0 0 0 0
243 0 0 0 0
244 0 0 0 0
245 0 0 0 0
246 0 0 0 0
247 0 0 0 0
248 0 0 0 0
249 0 0 0 0
250 1 40 1 40
251 0 0 0 0
252 1 40 1 40
253 0 0 0 0
254 0 0 0 0
255 0 0 0 0
256 3 644 4 299
257 3 1157 4 360
258 0 0 0 0
259 55 3495 370 531810
260 0 0 0 0
261 1 1430 1 40
262 121 5642 1125 1663498
263 0 0 0 0
264 0 0 0 0
265 0 0 0 0
266 0 0 0 0
267 0 0 0 0
268 0 0 0 0
269 0 0 0 0
270 1 40 1 40
271 2 690 3 257
272 1 40 1 40
273 0 0 0 0
274 0 0 0 0
275 0 0 0 0
276 0 0 0 0
277 0 0 0 0
278 0 0 0 0
279 0 0 0 0
280 1 40 1 40
281 0 0 0 0
282 1 40 1 40
283 0 0 0 0
284 0 0 0 0
285 3 1160 4 360
286 3 646 4 299
287 0 0 0 0
288 0 0 0 0
289 70 4095 352 503487
290 0 0 0 0
291 0 0 0 0
292 1 40 1 40
293 0 0 0 0
294 0 0 0 0
295 0 0 0 0
296 0 0 0 0
297 0 0 0 0
298 0 0 0 0
299 1 40 1 40
300 0 0 0 0
301 0 0 0 0
302 0 0 0 0
303 93 5110 1059 1564574
304 0 0 0 0
305 0 0 0 0
306 0 0 0 0
307 0 0 0 0
308 0 0 0 0
309 0 0 0 0
310 1 40 1 40
311 2 691 3 257
312 0 0 0 0
313 4 1206 5 400
314 0 0 0 0
315 0 0 0 0
316 3 646 4 299
317 0 0 0 0
318 0 0 0 0
319 41 2935 356 516946
320 2 115 2 111
321 2 119 2 119
322 0 0 0 0
323 0 0 0 0
324 1 40 1 40
325 0 0 0 0
326 0 0 0 0
327 0 0 0 0
328 0 0 0 0
329 1 40 1 40
330 0 0 0 0
331 0 0 0 0
332 0 0 0 0
333 0 0 0 0
334 1 40 1 40
335 0 0 0 0
336 0 0 0 0
337 0 0 0 0
338 0 0 0 0
339 117 6070 738 1068536
340 46 1840 408 589444
341 3 1163 4 360
342 0 0 0 0
343 0 0 0 0
344 0 0 0 0
345 0 0 0 0
346 3 645 4 299
347 0 0 0 0
348 0 0 0 0
349 70 4095 392 561851
350 1 40 1 40
351 2 690 3 257
352 0 0 0 0
353 0 0 0 0
354 0 0 0 0
355 0 0 0 0
356 0 0 0 0
357 0 0 0 0
358 0 0 0 0
359 1 40 1 40
360 1 40 1 40
361 0 0 0 0
362 0 0 0 0
363 0 0 0 0
364 0 0 0 0
365 0 0 0 0
366 0 0 0 0
367 0 0 0 0
368 0 0 0 0
369 4 1198 5 400
370 1 40 1 40
371 0 0 0 0
372 0 0 0 0
373 0 0 0 0
374 0 0 0 0
375 0 0 0 0
376 171 8755 1111 1601107
377 0 0 0 0
378 0 0 0 0
379 0 0 0 0
380 3 159 3 159
381 0 0 0 0
382 0 0 0 0
383 0 0 0 0
384 0 0 0 0
385 0 0 0 0
386 1 40 1 40
387 0 0 0 0
388 0 0 0 0
389 72 4175 379 545869
390 0 0 0 0
391 2 692 3 257
392 0 0 0 0
393 0 0 0 0
394 0 0 0 0
395 0 0 0 0
396 1 40 1 40
397 0 0 0 0
398 0 0 0 0
399 1 40 1 40
400 0 0 0 0
401 0 0 0 0
402 0 0 0 0
403 0 0 0 0
404 0 0 0 0
405 0 0 0 0
406 3 647 4 299
407 1 40 1 40
408 0 0 0 0
409 0 0 0 0
410 1 40 1 40
411 0 0 0 0
412 0 0 0 0
413 0 0 0 0
414 0 0 0 0
415 29 2550 123 175232
416 83 3320 930 1378925
417 0 0 0 0
418 0 0 0 0
419 0 0 0 0
420 61 3735 366 524687
421 0 0 0 0
422 0 0 0 0
423 0 0 0 0
424 0 0 0 0
425 0 0 0 0
426 1 40 1 40
427 0 0 0 0
428 0 0 0 0
429 0 0 0 0
430 1 40 1 40
431 2 692 3 257
432 4 223 4 160
433 0 0 0 0
434 0 0 0 0
435 0 0 0 0
436 4 685 5 339
437 0 0 0 0
438 0 0 0 0
439 0 0 0 0
440 1 40 1 40
441 0 0 0 0
442 0 0 0 0
443 0 0 0 0
444 0 0 0 0
445 0 0 0 0
446 1 40 1 40
447 0 0 0 0
448 0 0 0 0
449 41 2935 336 491753
450 0 0 0 0
451 0 0 0 0
452 0 0 0 0
453 0 0 0 0
454 0 0 0 0
455 0 0 0 0
456 156 7630 1150 1664667
457 0 0 0 0
458 0 0 0 0
459 1 40 1 40
460 0 0 0 0
461 0 0 0 0
462 0 0 0 0
463 0 0 0 0
464 0 0 0 0
465 0 0 0 0
466 4 684 5 339
467 0 0 0 0
468 0 0 0 0
469 0 0 0 0
470 1 40 1 40
471 2 692 3 257
472 0 0 0 0
473 0 0 0 0
474 0 0 0 0
475 0 0 0 0
476 0 0 0 0
477 1 40 1 40
478 0 0 0 0
479 57 3575 376 537978
480 0 0 0 0
481 0 0 0 0
482 0 0 0 0
483 0 0 0 0
484 0 0 0 0
485 0 0 0 0
486 0 0 0 0
487 1 40 1 40
488 0 0 0 0
489 1 40 1 40
490 0 0 0 0
491 0 0 0 0
492 0 0 0 0
493 0 0 0 0
494 0 0 0 0
495 0 0 0 0
496 3 645 4 299
497 66 4030 314 449508
498 96 3840 841 1217610
499 1 40 1 40
500 0 0 0 0
501 0 0 0 0
502 0 0 0 0
503 0 0 0 0
504 0 0 0 0
505 0 0 0 0
506 0 0 0 0
507 0 0 0 0
508 1 40 1 40
509 22 2175 108 155088
510 32 1280 223 323080
511 2 690 3 257
512 0 0 0 0
513 0 0 0 0
514 0 0 0 0
515 0 0 0 0
516 0 0 0 0
517 0 0 0 0
518 1 40 1 40
519 0 0 0 0
520 1 40 1 40
521 0 0 0 0
522 0 0 0 0
523 0 0 0 0
524 0 0 0 0
525 0 0 0 0
526 3 645 4 299
527 0 0 0 0
528 1 40 1 40
529 0 0 0 0
530 1 40 1 40
531 0 0 0 0
532 0 0 0 0
533 0 0 0 0
534 0 0 0 0
535 0 0 0 0
536 0 0 0 0
537 3 1167 4 360
538 0 0 0 0
539 43 3016 361 532092
540 0 0 0 0
541 0 0 0 0
542 0 0 0 0
543 0 0 0 0
544 0 0 0 0
545 1 1430 1 40
546 111 4440 1048 1520866
547 0 0 0 0
548 0 0 0 0
549 1 40 1 40
550 0 0 0 0
551 2 687 3 257
552 0 0 0 0
553 0 0 0 0
554 0 0 0 0
555 0 0 0 0
556 4 685 5 339
557 0 0 0 0
558 0 0 0 0
559 1 40 1 40
560 0 0 0 0
561 0 0 0 0
562 0 0 0 0
563 0 0 0 0
564 0 0 0 0
565 4 1198 5 400
566 1 40 1 40
567 0 0 0 0
568 0 0 0 0
569 49 3257 371 539593
570 0 0 0 0
571 0 0 0 0
572 0 0 0 0
573 0 0 0 0
574 0 0 0 0
575 0 0 0 0
576 0 0 0 0
577 1 40 1 40
578 0 0 0 0
579 1 40 1 40
580 0 0 0 0
581 0 0 0 0
582 0 0 0 0
583 9 1584 9 1187
584 24 2389 43 57277
585 125 5000 1113 1612508
586 3 656 4 299
