135 0 0 0 0
136 9 632 9 2959
137 5 328 5 1562
138 4 160 4 210
139 3 259 3 1436
140 22 5107 21 2610
141 21 1399 50 56204
142 13 992 15 6506
143 49 6478 138 173574
144 10 1124 10 1378
145 0 0 0 0
146 2 80 2 130
147 4 192 4 425
148 2 80 2 248
149 1 40 1 90
150 5 200 5 224
151 3 120 3 283
152 5 200 6 353
153 3 120 3 322
154 2 80 2 80
155 0 0 0 0
156 2 80 2 80
157 0 0 0 0
158 9 425 9 847
159 0 0 0 0
160 3 693 3 170
161 7 1958 7 602
162 2 80 2 131
163 3 120 5 324
164 5 200 5 350
165 0 0 0 0
166 6 240 6 240
167 2 80 2 232
168 3 153 4 512
169 4 192 4 338
170 1 40 1 90
171 0 0 0 0
172 4 193 4 426
173 2 80 2 231
174 8 1038 8 1115
175 1 40 1 90
176 1 40 1 105
177 6 240 6 264
178 8 353 10 790
179 2 80 2 80
180 3 152 3 197
181 1 40 1 87
182 2 80 2 192
183 7 313 7 749
184 6 240 8 499
185 7 1712 7 450
186 1 40 1 89
187 38 4278 83 88007
188 36 11385 77 89161
189 4 414 4 410
190 0 0 0 0
191 6 272 6 385
192 5 1745 5 399
193 4 376 4 386
194 0 0 0 0
195 5 945 5 267
196 1 40 1 303
197 10 2012 12 3316
198 109 5025 585 820479
199 34 1590 174 243814
200 232 25490 2087 3004858
201 95 4087 758 1092503
202 36 1871 252 356037
203 18 18010 18 890
204 7 998 7 1083
205 29 2678 71 95713
206 57 3695 146 183889
207 6 1610 6 360
208 14 10158 14 1168
209 6 453 6 446
210 0 0 0 0
211 7 280 7 344
212 12 4906 12 512
213 14 1652 16 6619
214 0 0 0 0
215 0 0 0 0
216 2 293 2 80
217 2 80 2 355
218 0 0 0 0
219 0 0 0 0
220 0 0 0 0
221 0 0 0 0
222 2 80 2 80
223 2 112 2 108
224 2 80 2 80
225 0 0 0 0
226 11 2505 12 1290
227 0 0 0 0
228 8 1101 8 602
229 3 1341 3 720
230 3 120 3 120
231 15 2344 17 5602
232 3 120 3 120
233 0 0 0 0
234 8 1070 8 981
235 7 722 7 1139
236 1 40 1 105
237 0 0 0 0
238 25 5443 33 19555
